artwork_title,group_name
Clematis texensis Buckley,Superhero Comic
Vicia cracca L. ssp. tenuifolia (Roth) Gaudin,Superhero Comic
Amorpha californica Nutt. var. californica,Portrait
Ledum groenlandicum Oeder,Manga
Lamium L.,Indie
Cladonia subsetacea Robbins ex A. Evans,Indie
Ipomopsis pinnata (Cav.) V.E. Grant,Indie
Populus tremuloides Michx.,Indie
Monardella villosa Benth. ssp. obispoensis (Hoover) Jokerst,Portrait
Tragopogon mirus Ownbey,Superhero Comic
Hypnum pallescens (Hedw.) P. Beauv. var. protuberans (Brid.) Austin,Alternative
Carex ovalis Goodenough,Bande Desinee
Salix ×simulans Fernald (pro sp.),Portrait
Polygonatum biflorum (Walter) Elliott var. necopinum R. Ownbey,Superhero Comic
Cyrtandra ×conradtii Rock (pro sp.),Bande Desinee
Calamagrostis stricta (Timm) Koeler ssp. stricta,Manga
Erigeron rybius G.L. Nesom,Indie
Nicotiana repanda Willd. ex Lehm.,Superhero Comic
Eriogonum nutans Torr. & A. Gray,Bande Desinee
Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. flavula (Greene) D.K. Trock & T.M. Barkley,Alternative
Glycine tabacina (Labill.) Benth.,Bande Desinee
Trichostema brachiatum L.,Portrait
Metroxylon sagu Rottb.,Portrait
Peltigera kristinssonii Vitik.,Portrait
Penstemon absarokensis Evert,Manga
Campylopus fragilis (Brid.) Bruch & Schimp.,Indie
Myosurus apetalus C. Gay,Portrait
Penstemon leiophyllus Pennell var. leiophyllus,Bande Desinee
Lecidea leucothallina Arnold,Indie
Pterogonium gracile (Hedw.) Sm.,Portrait
Bryoria chalybeiformis (L.) Brodo & D. Hawksw.,Manga
Chaenotheca cinerea (Pers.) Tibell,Alternative
Didymodon tophaceus (Brid.) Lisa,Bande Desinee
Arabis oxylobula Greene,Manga
Crataegus limata Beadle,Bande Desinee
Cardiospermum dissectum (S. Watson) Radlk.,Portrait
Polystichum acrostichoides (Michx.) Schott,Superhero Comic
Carex congdonii L.H. Bailey,Indie
Abronia ameliae Lundell,Portrait
Pleurocoronis pluriseta (A. Gray) R.M. King & H. Rob.,Superhero Comic
Pinus contorta Douglas ex Loudon var. bolanderi (Parl.) Vasey,Bande Desinee
Coreopsis wrightii (A. Gray) H.M. Parker,Alternative
Picea A. Dietr.,Indie
Streptanthus carinatus C. Wright ex A. Gray,Portrait
Mitracarpus breviflorus A. Gray,Manga
Ranunculus lapponicus L.,Superhero Comic
Agropyron desertorum (Fisch. ex Link) Schult.,Superhero Comic
Diploicia A. Massal.,Superhero Comic
Spiraea tomentosa L.,Indie
Cestrum parqui L'Hér.,Manga
Calochortus simulans (Hoover) Munz,Manga
"Thelesperma burridgeanum (Regel, Korn. & Rach.) S.F. Blake",Manga
Crossidium squamiferum (Viv.) Jur.,Indie
Caperonia castaneifolia (L.) A. St.-Hil.,Portrait
Callisia repens (Jacq.) L.,Alternative
Saponaria pumilio (L.) Fenzl ex A. Braun,Indie
Castilleja miniata Douglas ex Hook. ssp. dixonii (Fernald) Kartesz,Portrait
Pyrenula macularis (Zahlbr.) R.C. Harris,Indie
Ericameria greenei (A. Gray) G.L. Nesom,Portrait
Euphorbia hexagona Nutt. ex Spreng.,Indie
Arenaria stenomeres Eastw.,Portrait
Solidago canadensis L. var. lepida (DC.) Cronquist,Alternative
Eucalyptus loxophleba Benth.,Superhero Comic
Rosa stellata Wooton ssp. abyssa A. Phillips,Superhero Comic
Collinsia torreyi A. Gray var. wrightii (S. Watson) I.M. Johnst.,Indie
Malvella sagittifolia (A. Gray) Fryxell,Alternative
Thelomma santessonii Tibell,Bande Desinee
Pentachaeta aurea Nutt. ssp. aurea,Alternative
Fraxinus papillosa Lingelsh.,Superhero Comic
Lewisia cotyledon (S. Watson) B.L. Rob. var. howellii (S. Watson) Jeps.,Indie
Buxbaumia Hedw.,Bande Desinee
Parietaria officinalis L.,Indie
Laurera Rchb.,Alternative
Galium emeryense Dempster & Ehrend.,Indie
Aquilegia jonesii Parry var. jonesii,Alternative
Nephrolepis exaltata (L.) Schott ssp. exaltata,Alternative
Arctostaphylos tomentosa (Pursh) Lindl. ssp. insulicola P.V. Wells,Manga
Chamaedorea seifrizii Burret,Alternative
Coursetia DC.,Superhero Comic
Scorpidium (Schimp.) Limpr.,Alternative
Pycnanthemum californicum Torr. ex Durand,Portrait
Stuckenia filiformis (Pers.) Börner,Portrait
Trifolium echinatum M. Bieb. var. echinatum,Manga
Ranunculus andersonii A. Gray,Bande Desinee
Protothelenella sphinctrinoides (Nyl.) H. Mayrh. & Poelt,Manga
Campanula glomerata L.,Superhero Comic
Alternanthera hassleriana Chodat ex Chodat & Hassler,Indie
Linaria spartea (L.) Chaz.,Superhero Comic
Rubus glaucifolius Kellogg var. glaucifolius,Bande Desinee
Buglossoides arvensis (L.) I.M. Johnst.,Superhero Comic
Silphium laciniatum L. var. laciniatum,Manga
Packera spellenbergii (T.M. Barkley) C. Jeffrey,Portrait
Helenium ×polyphyllum Small (pro sp.),Bande Desinee
Ivesia utahensis S. Watson,Portrait
Calamagrostis stricta (Timm) Koeler,Bande Desinee
Beta atriplicifolia Rouy,Bande Desinee
Sphaerophorus globosus (Huds.) Vain. var. gracilis (Müll. Arg.) Zahlbr.,Indie
Acacia macracantha Humb. & Bonpl. ex Willd.,Bande Desinee
Polyblastia theleodes (Sommerf.) Th. Fr.,Alternative
Passiflora suberosa L.,Manga
