title,creation_year,art_type,price,artist_name
Clematis texensis Buckley,1966,Graphic Novel,3431.65,Nita Jepperson
Vicia cracca L. ssp. tenuifolia (Roth) Gaudin,1978,Animation,914.88,Trever Martinon
Amorpha californica Nutt. var. californica,1986,Comic,1747.18,Fancie Renish
Ledum groenlandicum Oeder,2012,Illustration,3784.13,Mirabelle de Chastelain
Lamium L.,1960,Animation,2005.89,Terrel Stallon
Cladonia subsetacea Robbins ex A. Evans,1965,Comic,3308.46,Ruthann Possa
Ipomopsis pinnata (Cav.) V.E. Grant,1971,Comic,675.6,Stefan Braunle
Populus tremuloides Michx.,1966,Graphic Novel,4575.99,Farrel O'Flannery
Monardella villosa Benth. ssp. obispoensis (Hoover) Jokerst,2009,Illustration,1545.22,Perry De Lasci
Tragopogon mirus Ownbey,2023,Graphic Novel,2388.72,Terrel Stallon
Hypnum pallescens (Hedw.) P. Beauv. var. protuberans (Brid.) Austin,1992,Illustration,2455.86,Zackariah Diloway
Carex ovalis Goodenough,1975,Illustration,1896.81,Solomon Nossent
Salix ×simulans Fernald (pro sp.),1989,Animation,3913.93,Terrel Stallon
Polygonatum biflorum (Walter) Elliott var. necopinum R. Ownbey,2014,Graphic Novel,2383.83,Lonnie Lamble
Cyrtandra ×conradtii Rock (pro sp.),1958,Animation,4001,Corey Treker
Calamagrostis stricta (Timm) Koeler ssp. stricta,1986,Animation,2392.96,Horatia Keming
Erigeron rybius G.L. Nesom,1986,Comic,2739.65,Johnath Millthorpe
Nicotiana repanda Willd. ex Lehm.,1955,Graphic Novel,432.75,Godart Obey
Eriogonum nutans Torr. & A. Gray,2018,Illustration,4429.17,Rene Baylay
Packera pseudaurea (Rydb.) W.A. Weber & Á. Löve var. flavula (Greene) D.K. Trock & T.M. Barkley,2013,Comic,1979.95,Corey Treker
Glycine tabacina (Labill.) Benth.,1999,Animation,4693.7,Normand Pullar
Trichostema brachiatum L.,1951,Illustration,26.68,Noami Ryam
Metroxylon sagu Rottb.,1988,Comic,4821.24,Amara Dowles
Peltigera kristinssonii Vitik.,1985,Comic,1389.08,Pansie Loblie
Penstemon absarokensis Evert,1999,Graphic Novel,825.21,Carlynn Tether
Campylopus fragilis (Brid.) Bruch & Schimp.,1986,Graphic Novel,4328.63,Fawn Burtt
Myosurus apetalus C. Gay,2007,Graphic Novel,220.58,Annmarie Kment
Penstemon leiophyllus Pennell var. leiophyllus,2003,Graphic Novel,4144.73,Hilary Sansam
Lecidea leucothallina Arnold,1976,Animation,351.01,Mikkel O' Donohoe
Pterogonium gracile (Hedw.) Sm.,1984,Illustration,2695.99,Silvie Elgie
Bryoria chalybeiformis (L.) Brodo & D. Hawksw.,2008,Animation,505,Findlay Longwood
Chaenotheca cinerea (Pers.) Tibell,1981,Graphic Novel,4885.75,Alissa Giorio
Didymodon tophaceus (Brid.) Lisa,2019,Illustration,3658.46,Dianemarie Robilliard
Arabis oxylobula Greene,1971,Graphic Novel,1645.1,Orly Gamil
Crataegus limata Beadle,2022,Comic,4025.14,Rutledge Blankau
Cardiospermum dissectum (S. Watson) Radlk.,2009,Animation,159.55,Deck Give
Polystichum acrostichoides (Michx.) Schott,2004,Illustration,1226.37,Salem Holston
Carex congdonii L.H. Bailey,2022,Graphic Novel,3141.33,Patty Lowis
Abronia ameliae Lundell,1975,Illustration,1946.54,Raynor Felkin
Pleurocoronis pluriseta (A. Gray) R.M. King & H. Rob.,1975,Comic,4354.38,Terrel Stallon
Pinus contorta Douglas ex Loudon var. bolanderi (Parl.) Vasey,1977,Animation,531.05,Mikkel O' Donohoe
Coreopsis wrightii (A. Gray) H.M. Parker,1982,Illustration,3356.35,Stefan Braunle
Picea A. Dietr.,1955,Illustration,2264.65,Deck Give
Streptanthus carinatus C. Wright ex A. Gray,2010,Illustration,1051.18,Tab Smickle
Mitracarpus breviflorus A. Gray,1998,Animation,1220,Laina Hamel
Ranunculus lapponicus L.,1965,Comic,557.37,Denys McCurdy
Agropyron desertorum (Fisch. ex Link) Schult.,1998,Illustration,2229.83,Laina Hamel
Diploicia A. Massal.,1976,Animation,4243.54,Noami Ryam
Spiraea tomentosa L.,1998,Comic,1534.79,Susanna Simms
Cestrum parqui L'Hér.,1971,Comic,4249.21,Terrel Stallon
Calochortus simulans (Hoover) Munz,1953,Graphic Novel,421.89,Briny Frizzell
"Thelesperma burridgeanum (Regel, Korn. & Rach.) S.F. Blake",1953,Comic,2104.51,Denys McCurdy
Crossidium squamiferum (Viv.) Jur.,1960,Comic,471.71,Horatia Keming
Caperonia castaneifolia (L.) A. St.-Hil.,1991,Animation,1107.58,Leandra Golton
Callisia repens (Jacq.) L.,1973,Animation,1286.35,Lori Franchioni
Saponaria pumilio (L.) Fenzl ex A. Braun,2020,Graphic Novel,2438.72,Zola Giottoi
Castilleja miniata Douglas ex Hook. ssp. dixonii (Fernald) Kartesz,1971,Animation,2913.85,Corey Treker
Pyrenula macularis (Zahlbr.) R.C. Harris,2017,Illustration,4265.56,Ruby Kienzle
Ericameria greenei (A. Gray) G.L. Nesom,2006,Illustration,1143.83,Mikkel O'Sherin
Euphorbia hexagona Nutt. ex Spreng.,1959,Animation,1584.69,Noami Ryam
Arenaria stenomeres Eastw.,2010,Illustration,3368.3,Raynor Felkin
Solidago canadensis L. var. lepida (DC.) Cronquist,1954,Illustration,2547.28,Benoite Eardley
Eucalyptus loxophleba Benth.,2013,Animation,3192.81,Franky Stagge
Rosa stellata Wooton ssp. abyssa A. Phillips,1992,Illustration,2038.92,Briny Frizzell
Collinsia torreyi A. Gray var. wrightii (S. Watson) I.M. Johnst.,1995,Animation,451.45,Jania Emig
Malvella sagittifolia (A. Gray) Fryxell,1979,Comic,3558.69,Harwell Ovendale
Thelomma santessonii Tibell,1967,Comic,961.89,Pansie Loblie
Pentachaeta aurea Nutt. ssp. aurea,1982,Animation,3427.33,Horatia Keming
Fraxinus papillosa Lingelsh.,1975,Graphic Novel,594.83,Terrel Stallon
Lewisia cotyledon (S. Watson) B.L. Rob. var. howellii (S. Watson) Jeps.,2008,Graphic Novel,2741.45,Reginauld Dannatt
Buxbaumia Hedw.,1996,Illustration,3481.25,Godart Obey
Parietaria officinalis L.,1962,Graphic Novel,1249.54,Terrel Stallon
Laurera Rchb.,1993,Graphic Novel,3017.31,Zara Umpleby
Galium emeryense Dempster & Ehrend.,1968,Animation,4179.16,Fawn Burtt
Aquilegia jonesii Parry var. jonesii,1956,Graphic Novel,2187.05,Jessey Swede
Nephrolepis exaltata (L.) Schott ssp. exaltata,1971,Comic,1871.55,Fancie Renish
Arctostaphylos tomentosa (Pursh) Lindl. ssp. insulicola P.V. Wells,1985,Illustration,3427.22,Nickolaus Grigoli
Chamaedorea seifrizii Burret,1999,Illustration,1107.33,Pall Tookill
Coursetia DC.,1969,Animation,4126.07,Zackariah Diloway
Scorpidium (Schimp.) Limpr.,2022,Graphic Novel,3128.37,Fredek Wonter
Pycnanthemum californicum Torr. ex Durand,1986,Comic,4966.99,Dick Simenet
Stuckenia filiformis (Pers.) Börner,1958,Comic,3063.55,Natalee Lickess
Trifolium echinatum M. Bieb. var. echinatum,1957,Animation,1663.82,Reginauld Dannatt
Ranunculus andersonii A. Gray,2000,Comic,3290.6,Denys McCurdy
Protothelenella sphinctrinoides (Nyl.) H. Mayrh. & Poelt,1977,Illustration,4070.62,Rosmunda Springle
Campanula glomerata L.,1982,Comic,1770.36,Alexei Kestin
Alternanthera hassleriana Chodat ex Chodat & Hassler,1993,Animation,1139.81,Normand Pullar
Linaria spartea (L.) Chaz.,1987,Graphic Novel,446.29,Johnath Millthorpe
Rubus glaucifolius Kellogg var. glaucifolius,2020,Comic,3086.82,Laina Hamel
Buglossoides arvensis (L.) I.M. Johnst.,2003,Animation,2980.34,Jeanelle Keymer
Silphium laciniatum L. var. laciniatum,2015,Animation,3388.19,Fredek Wonter
Packera spellenbergii (T.M. Barkley) C. Jeffrey,2005,Comic,3205.28,Franky Stagge
Helenium ×polyphyllum Small (pro sp.),1975,Animation,4016.52,Ermengarde Beggin
Ivesia utahensis S. Watson,2013,Comic,61.75,Hannie Stieger
Calamagrostis stricta (Timm) Koeler,2018,Animation,1282.47,Hannie Stieger
Beta atriplicifolia Rouy,1962,Graphic Novel,4755.45,Giulia Takis
Sphaerophorus globosus (Huds.) Vain. var. gracilis (Müll. Arg.) Zahlbr.,1987,Animation,2052.17,Alexei Kestin
Acacia macracantha Humb. & Bonpl. ex Willd.,1968,Illustration,60.52,Marcia Checketts
Polyblastia theleodes (Sommerf.) Th. Fr.,2002,Animation,739.02,Vi Berthot
Passiflora suberosa L.,1968,Comic,2869.03,Revkah Clemencon
